"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","104.208.16.90","172.20.48.201","TLSv1.3","4212","Server Hello, Change Cipher Spec"
"2","0.000055","172.20.48.201","104.208.16.90","TCP","54","65319  >  443 [ACK] Seq=1 Ack=4159 Win=1024 Len=0"
"3","0.000106","104.208.16.90","172.20.48.201","TCP","1440","443  >  65319 [PSH, ACK] Seq=4159 Ack=1 Win=254 Len=1386 [TCP PDU reassembled in 5]"
"4","0.000123","172.20.48.201","104.208.16.90","TCP","54","65319  >  443 [ACK] Seq=1 Ack=5545 Win=1024 Len=0"
"5","0.000207","104.208.16.90","172.20.48.201","TLSv1.3","913","Application Data"
"6","0.000230","172.20.48.201","104.208.16.90","TCP","54","65319  >  443 [ACK] Seq=1 Ack=6404 Win=1020 Len=0"
"7","0.013762","172.20.48.201","104.208.16.90","TLSv1.3","134","Change Cipher Spec, Application Data"
"8","0.013946","172.20.48.201","104.208.16.90","TLSv1.3","1051","Application Data"
"9","0.017013","104.208.16.90","172.20.48.201","TCP","60","443  >  65319 [ACK] Seq=6404 Ack=81 Win=254 Len=0"
"10","0.017013","104.208.16.90","172.20.48.201","TCP","60","443  >  65319 [ACK] Seq=6404 Ack=1078 Win=251 Len=0"
"11","0.041753","52.182.143.215","172.20.48.201","TLSv1.2","152","Application Data"
"12","0.042534","172.20.48.201","52.182.143.215","TLSv1.2","89","Application Data"
"13","0.045133","52.182.143.215","172.20.48.201","TCP","60","443  >  65218 [ACK] Seq=99 Ack=36 Win=353 Len=0"
"14","0.252622","104.208.16.90","172.20.48.201","TLSv1.3","157","Application Data"
"15","0.252716","172.20.48.201","104.208.16.90","TCP","54","65319  >  443 [ACK] Seq=1078 Ack=6507 Win=1020 Len=0"
"16","0.498512","104.208.16.90","172.20.48.201","TLSv1.3","500","Application Data"
"17","0.498588","172.20.48.201","104.208.16.90","TCP","54","65319  >  443 [ACK] Seq=1078 Ack=6953 Win=1024 Len=0"
"18","1.307749","172.20.48.201","172.64.146.98","TCP","55","65245  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"19","1.313360","172.64.146.98","172.20.48.201","TCP","66","443  >  65245 [ACK] Seq=1 Ack=2 Win=8 Len=0 SLE=1 SRE=2"
"20","4.347498","172.20.48.201","3.233.158.26","TCP","55","65271  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 396]"
"21","4.350172","3.233.158.26","172.20.48.201","TCP","66","443  >  65271 [ACK] Seq=1 Ack=2 Win=95 Len=0 SLE=1 SRE=2"
"22","6.073939","172.20.48.201","8.8.8.8","TCP","55","65237  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"23","6.077642","8.8.8.8","172.20.48.201","TCP","66","443  >  65237 [ACK] Seq=1 Ack=2 Win=246 Len=0 SLE=1 SRE=2"
"24","6.273807","104.199.241.202","172.20.48.201","SSL","65","Continuation Data"
"25","6.322908","172.20.48.201","104.199.241.202","TCP","54","64737  >  443 [ACK] Seq=1 Ack=12 Win=251 Len=0"
"26","6.629588","172.20.48.201","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"27","6.817764","172.20.48.201","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"28","7.632260","172.20.48.201","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"29","7.820653","172.20.48.201","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"30","7.943067","172.20.48.201","104.18.32.47","TCP","1440","65213  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1386 [TCP PDU reassembled in 35]"
"31","7.943067","172.20.48.201","104.18.32.47","TCP","1440","65213  >  443 [ACK] Seq=1387 Ack=1 Win=253 Len=1386 [TCP PDU reassembled in 35]"
"32","7.943067","172.20.48.201","104.18.32.47","TCP","1440","65213  >  443 [ACK] Seq=2773 Ack=1 Win=253 Len=1386 [TCP PDU reassembled in 35]"
"33","7.943067","172.20.48.201","104.18.32.47","TCP","1440","65213  >  443 [ACK] Seq=4159 Ack=1 Win=253 Len=1386 [TCP PDU reassembled in 35]"
"34","7.943067","172.20.48.201","104.18.32.47","TCP","1440","65213  >  443 [ACK] Seq=5545 Ack=1 Win=253 Len=1386 [TCP PDU reassembled in 35]"
"35","7.943067","172.20.48.201","104.18.32.47","TLSv1.2","139","Application Data"
"36","7.943305","172.20.48.201","104.18.32.47","TLSv1.2","93","Application Data"
"37","7.943367","172.20.48.201","104.18.32.47","TLSv1.2","668","Application Data"
"38","7.944862","172.20.48.201","13.107.6.158","TLSv1.2","160","Application Data"
"39","7.945071","172.20.48.201","13.107.6.158","TLSv1.2","93","Application Data"
"40","7.945143","172.20.48.201","13.107.6.158","TLSv1.2","114","Application Data"
"41","7.945432","172.20.48.201","52.111.252.16","TLSv1.2","128","Application Data"
"42","7.945551","172.20.48.201","52.111.252.16","TLSv1.2","100","Application Data"
"43","7.945614","172.20.48.201","52.111.252.16","TLSv1.2","471","Application Data"
"44","7.946877","104.18.32.47","172.20.48.201","TCP","60","443  >  65213 [ACK] Seq=1 Ack=1387 Win=97 Len=0"
"45","7.946877","104.18.32.47","172.20.48.201","TCP","60","443  >  65213 [ACK] Seq=1 Ack=2773 Win=97 Len=0"
"46","7.946877","104.18.32.47","172.20.48.201","TCP","60","443  >  65213 [ACK] Seq=1 Ack=4159 Win=97 Len=0"
"47","7.946953","104.18.32.47","172.20.48.201","TCP","60","443  >  65213 [ACK] Seq=1 Ack=5545 Win=97 Len=0"
"48","7.946953","104.18.32.47","172.20.48.201","TCP","60","443  >  65213 [ACK] Seq=1 Ack=6931 Win=97 Len=0"
"49","7.946953","104.18.32.47","172.20.48.201","TCP","60","443  >  65213 [ACK] Seq=1 Ack=7016 Win=97 Len=0"
"50","7.946953","104.18.32.47","172.20.48.201","TCP","60","443  >  65213 [ACK] Seq=1 Ack=7055 Win=97 Len=0"
"51","7.946953","104.18.32.47","172.20.48.201","TCP","60","443  >  65213 [ACK] Seq=1 Ack=7669 Win=97 Len=0"
"52","7.947870","13.107.6.158","172.20.48.201","TCP","60","443  >  65216 [ACK] Seq=1 Ack=206 Win=243 Len=0"
"53","7.948924","52.111.252.16","172.20.48.201","TCP","60","443  >  65217 [ACK] Seq=1 Ack=538 Win=753 Len=0"
"54","7.951472","13.107.6.158","172.20.48.201","TLSv1.2","93","Application Data"
"55","8.006958","172.20.48.201","13.107.6.158","TCP","54","65216  >  443 [ACK] Seq=206 Ack=40 Win=253 Len=0"
"56","8.011564","104.18.32.47","172.20.48.201","TLSv1.2","93","Application Data"
"57","8.040098","52.111.252.16","172.20.48.201","TLSv1.2","100","Application Data"
"58","8.057204","172.20.48.201","104.18.32.47","TCP","54","65213  >  443 [ACK] Seq=7669 Ack=40 Win=253 Len=0"
"59","8.063169","13.107.6.158","172.20.48.201","TLSv1.2","403","Application Data, Application Data"
"60","8.064000","172.20.48.201","13.107.6.158","TLSv1.2","89","Application Data"
"61","8.084571","172.20.48.201","52.111.252.16","TCP","54","65217  >  443 [ACK] Seq=538 Ack=47 Win=255 Len=0"
"62","8.086905","52.111.252.16","172.20.48.201","TLSv1.2","304","Application Data, Application Data, Application Data"
"63","8.087858","172.20.48.201","52.111.252.16","TLSv1.2","96","Application Data"
"64","8.108119","13.107.6.158","172.20.48.201","TCP","60","443  >  65216 [ACK] Seq=389 Ack=241 Win=243 Len=0"
"65","8.138591","52.111.252.16","172.20.48.201","TCP","60","443  >  65217 [ACK] Seq=297 Ack=580 Win=753 Len=0"
"66","8.202724","172.20.48.201","13.107.6.158","TLSv1.2","163","Application Data"
"67","8.202896","172.20.48.201","13.107.6.158","TLSv1.2","115","Application Data"
"68","8.206503","13.107.6.158","172.20.48.201","TCP","60","443  >  65216 [ACK] Seq=389 Ack=350 Win=243 Len=0"
"69","8.206503","13.107.6.158","172.20.48.201","TCP","60","443  >  65216 [ACK] Seq=389 Ack=411 Win=243 Len=0"
"70","8.320129","13.107.6.158","172.20.48.201","TLSv1.2","405","Application Data, Application Data"
"71","8.362574","172.20.48.201","13.107.6.158","TCP","54","65216  >  443 [ACK] Seq=411 Ack=740 Win=255 Len=0"
"72","8.363582","172.20.48.201","4.224.92.204","TLSv1.2","104","Application Data"
"73","8.386122","4.224.92.204","172.20.48.201","TLSv1.2","93","Application Data"
"74","8.414402","172.20.48.201","52.111.252.16","TLSv1.2","128","Application Data"
"75","8.414570","172.20.48.201","52.111.252.16","TLSv1.2","473","Application Data"
"76","8.414862","172.20.48.201","13.107.6.158","TLSv1.2","160","Application Data"
"77","8.414968","172.20.48.201","13.107.6.158","TLSv1.2","116","Application Data"
"78","8.417746","52.111.252.16","172.20.48.201","TCP","60","443  >  65217 [ACK] Seq=297 Ack=654 Win=753 Len=0"
"79","8.417746","52.111.252.16","172.20.48.201","TCP","60","443  >  65217 [ACK] Seq=297 Ack=1073 Win=764 Len=0"
"80","8.417746","13.107.6.158","172.20.48.201","TCP","60","443  >  65216 [ACK] Seq=740 Ack=517 Win=243 Len=0"
"81","8.417746","13.107.6.158","172.20.48.201","TCP","60","443  >  65216 [ACK] Seq=740 Ack=579 Win=243 Len=0"
"82","8.439947","172.20.48.201","4.224.92.204","TCP","54","64763  >  443 [ACK] Seq=51 Ack=40 Win=251 Len=0"
"83","8.508491","52.111.252.16","172.20.48.201","TLSv1.2","96","Application Data"
"84","8.550263","172.20.48.201","52.111.252.16","TCP","54","65217  >  443 [ACK] Seq=1073 Ack=339 Win=254 Len=0"
"85","8.554009","52.111.252.16","172.20.48.201","TLSv1.2","239","Application Data, Application Data"
"86","8.596985","172.20.48.201","52.111.252.16","TCP","54","65217  >  443 [ACK] Seq=1073 Ack=524 Win=253 Len=0"
"87","8.597265","172.20.48.201","35.186.224.40","TLSv1.2","82","Application Data"
"88","8.599537","35.186.224.40","172.20.48.201","TCP","60","443  >  64727 [ACK] Seq=1 Ack=29 Win=253 Len=0"
"89","8.642819","172.20.48.201","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"90","8.647147","104.18.32.47","172.20.48.201","TLSv1.2","603","Application Data"
"91","8.689351","172.20.48.201","104.18.32.47","TCP","54","65213  >  443 [ACK] Seq=7669 Ack=589 Win=250 Len=0"
"92","8.693000","104.18.32.47","172.20.48.201","TLSv1.2","87","Application Data"
"93","8.705048","172.20.48.201","104.18.32.47","TLSv1.2","89","Application Data"
"94","8.707915","104.18.32.47","172.20.48.201","TCP","60","443  >  65213 [ACK] Seq=622 Ack=7704 Win=97 Len=0"
"95","8.830287","172.20.48.201","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"96","8.888909","104.18.32.47","172.20.48.201","TCP","5598","443  >  65213 [PSH, ACK] Seq=622 Ack=7704 Win=97 Len=5544 [TCP PDU reassembled in 101]"
"97","8.888909","104.18.32.47","172.20.48.201","TCP","1440","443  >  65213 [PSH, ACK] Seq=6166 Ack=7704 Win=97 Len=1386 [TCP PDU reassembled in 101]"
"98","8.889012","172.20.48.201","104.18.32.47","TCP","54","65213  >  443 [ACK] Seq=7704 Ack=7552 Win=255 Len=0"
"99","8.889077","104.18.32.47","172.20.48.201","TCP","1440","443  >  65213 [PSH, ACK] Seq=7552 Ack=7704 Win=97 Len=1386 [TCP PDU reassembled in 101]"
"100","8.889077","104.18.32.47","172.20.48.201","TCP","2826","443  >  65213 [PSH, ACK] Seq=8938 Ack=7704 Win=97 Len=2772 [TCP PDU reassembled in 101]"
"101","8.889077","104.18.32.47","172.20.48.201","TLSv1.2","983","Application Data, Application Data"
"102","8.889109","172.20.48.201","104.18.32.47","TCP","54","65213  >  443 [ACK] Seq=7704 Ack=12639 Win=255 Len=0"
"103","8.970888","172.20.48.201","23.206.173.137","TCP","55","65269  >  443 [ACK] Seq=1 Ack=1 Win=506 Len=1"
"104","8.973597","23.206.173.137","172.20.48.201","TCP","66","443  >  65269 [ACK] Seq=1 Ack=2 Win=482 Len=0 SLE=1 SRE=2"
"105","9.655340","172.20.48.201","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
